period,block,group,interval,ppi,group_id
9,3,CDA2,1,3.0,2
9,3,CDA2,2,2.0,2
9,3,CDA2,3,1.0,2
9,3,CDA2,4,8.0,2
9,3,CDA2,5,3.0,2
9,3,CDA2,6,2.0,2
9,3,CDA2,7,3.0,2
9,3,CDA2,8,5.95,2
9,3,CDA2,9,2.0,2
9,3,CDA2,10,2.0,2
9,3,CDA2,11,9.0,2
9,3,CDA2,12,1.0,2
10,3,CDA2,1,1.0,2
10,3,CDA2,2,2.0,2
10,3,CDA2,3,2.0,2
10,3,CDA2,4,1.0,2
10,3,CDA2,5,1.0,2
10,3,CDA2,6,5.0,2
10,3,CDA2,7,1.0,2
10,3,CDA2,8,1.0,2
10,3,CDA2,9,1.0,2
10,3,CDA2,10,1.0,2
10,3,CDA2,11,1.0,2
10,3,CDA2,12,6.0,2
11,3,CDA2,1,2.0,2
11,3,CDA2,2,1.0,2
11,3,CDA2,3,2.0,2
11,3,CDA2,4,3.0,2
11,3,CDA2,5,1.0,2
11,3,CDA2,6,2.0,2
11,3,CDA2,7,2.0,2
11,3,CDA2,8,2.0,2
11,3,CDA2,9,1.0,2
11,3,CDA2,10,2.0,2
11,3,CDA2,11,2.0,2
11,3,CDA2,12,1.5999999999999996,2
12,3,CDA2,1,2.0,2
12,3,CDA2,2,2.0,2
12,3,CDA2,3,2.0,2
12,3,CDA2,4,2.0,2
12,3,CDA2,5,4.0,2
12,3,CDA2,6,5.0,2
12,3,CDA2,7,4.0,2
12,3,CDA2,8,9.0,2
12,3,CDA2,9,1.0,2
12,3,CDA2,10,8.0,2
12,3,CDA2,11,4.6,2
12,3,CDA2,12,4.300000000000001,2
13,4,CDA2,1,1.0,2
13,4,CDA2,2,2.0,2
13,4,CDA2,3,1.0,2
13,4,CDA2,4,1.2000000000000002,2
13,4,CDA2,5,12.399999999999999,2
13,4,CDA2,6,1.0,2
13,4,CDA2,7,12.0,2
13,4,CDA2,8,14.0,2
13,4,CDA2,9,6.0,2
13,4,CDA2,10,1.0,2
13,4,CDA2,11,2.0,2
13,4,CDA2,12,1.0,2
14,4,CDA2,1,1.0,2
14,4,CDA2,2,1.0,2
14,4,CDA2,3,2.0,2
14,4,CDA2,4,1.0,2
14,4,CDA2,5,1.0,2
14,4,CDA2,6,2.0,2
14,4,CDA2,7,2.0,2
14,4,CDA2,8,3.0,2
14,4,CDA2,9,1.0,2
14,4,CDA2,10,2.0,2
14,4,CDA2,11,2.3000000000000007,2
14,4,CDA2,12,6.0,2
15,4,CDA2,1,1.0,2
15,4,CDA2,2,3.0,2
15,4,CDA2,3,1.0,2
15,4,CDA2,4,1.0,2
15,4,CDA2,5,1.0,2
15,4,CDA2,6,1.0,2
15,4,CDA2,7,1.0,2
15,4,CDA2,8,1.0,2
15,4,CDA2,9,1.0,2
15,4,CDA2,10,2.0,2
15,4,CDA2,11,1.0,2
15,4,CDA2,12,3.0,2
16,4,CDA2,1,1.0,2
16,4,CDA2,2,1.0,2
16,4,CDA2,3,2.0,2
16,4,CDA2,4,2.0,2
16,4,CDA2,5,1.0,2
16,4,CDA2,6,1.0,2
16,4,CDA2,7,2.0,2
16,4,CDA2,8,1.0,2
16,4,CDA2,9,1.0,2
16,4,CDA2,10,1.0,2
16,4,CDA2,11,2.0,2
16,4,CDA2,12,15.0,2
17,5,CDA2,1,2.0,2
17,5,CDA2,2,2.0,2
17,5,CDA2,3,2.0,2
17,5,CDA2,4,5.0,2
17,5,CDA2,5,3.0,2
17,5,CDA2,6,4.0,2
17,5,CDA2,7,7.0,2
17,5,CDA2,8,8.0,2
17,5,CDA2,9,10.8,2
17,5,CDA2,10,5.800000000000001,2
17,5,CDA2,11,11.75,2
17,5,CDA2,12,11.75,2
18,5,CDA2,1,1.0,2
18,5,CDA2,2,2.0,2
18,5,CDA2,3,5.0,2
18,5,CDA2,4,1.0,2
18,5,CDA2,5,7.0,2
18,5,CDA2,6,7.0,2
18,5,CDA2,7,7.0,2
18,5,CDA2,8,7.0,2
18,5,CDA2,9,15.0,2
18,5,CDA2,10,4.800000000000001,2
18,5,CDA2,11,5.0,2
18,5,CDA2,12,5.0,2
19,5,CDA2,1,1.0,2
19,5,CDA2,2,5.0,2
19,5,CDA2,3,2.0,2
19,5,CDA2,4,5.0,2
19,5,CDA2,5,2.0,2
19,5,CDA2,6,2.0,2
19,5,CDA2,7,2.0,2
19,5,CDA2,8,12.5,2
19,5,CDA2,9,3.0,2
19,5,CDA2,10,13.5,2
19,5,CDA2,11,2.0,2
19,5,CDA2,12,2.0,2
20,5,CDA2,1,5.0,2
20,5,CDA2,2,12.0,2
20,5,CDA2,3,4.0,2
20,5,CDA2,4,2.0,2
20,5,CDA2,5,1.8000000000000007,2
20,5,CDA2,6,2.0,2
20,5,CDA2,7,8.2,2
20,5,CDA2,8,1.0,2
20,5,CDA2,9,1.0,2
20,5,CDA2,10,1.0,2
20,5,CDA2,11,2.0,2
20,5,CDA2,12,2.0,2
1,1,CDA3,1,16.0,3
1,1,CDA3,2,6.0,3
1,1,CDA3,3,12.0,3
1,1,CDA3,4,9.0,3
1,1,CDA3,5,3.0,3
1,1,CDA3,6,5.1,3
1,1,CDA3,7,3.0,3
1,1,CDA3,8,3.0,3
1,1,CDA3,9,7.0,3
1,1,CDA3,10,2.0,3
1,1,CDA3,11,2.0,3
1,1,CDA3,12,8.0,3
2,1,CDA3,1,12.0,3
2,1,CDA3,2,5.0,3
2,1,CDA3,3,10.0,3
2,1,CDA3,4,5.0,3
2,1,CDA3,5,2.0,3
2,1,CDA3,6,4.0,3
2,1,CDA3,7,1.0,3
2,1,CDA3,8,3.0,3
2,1,CDA3,9,2.0,3
2,1,CDA3,10,1.0,3
2,1,CDA3,11,12.0,3
2,1,CDA3,12,1.0,3
3,1,CDA3,1,3.0,3
3,1,CDA3,2,4.0,3
3,1,CDA3,3,1.0,3
3,1,CDA3,4,2.0,3
3,1,CDA3,5,2.0,3
3,1,CDA3,6,2.0,3
3,1,CDA3,7,1.0,3
3,1,CDA3,8,1.0,3
3,1,CDA3,9,1.0,3
3,1,CDA3,10,1.0,3
3,1,CDA3,11,1.0,3
3,1,CDA3,12,1.0,3
4,1,CDA3,1,7.0,3
4,1,CDA3,2,2.0,3
4,1,CDA3,3,2.0,3
4,1,CDA3,4,3.0,3
4,1,CDA3,5,1.0,3
4,1,CDA3,6,3.0,3
4,1,CDA3,7,1.0500000000000007,3
4,1,CDA3,8,2.0,3
4,1,CDA3,9,1.0,3
4,1,CDA3,10,1.0,3
4,1,CDA3,11,5.0,3
4,1,CDA3,12,1.0,3
5,2,CDA3,1,10.0,3
5,2,CDA3,2,2.0,3
5,2,CDA3,3,2.0,3
5,2,CDA3,4,2.0,3
5,2,CDA3,5,12.0,3
5,2,CDA3,6,6.0,3
5,2,CDA3,7,1.0,3
5,2,CDA3,8,1.0,3
5,2,CDA3,9,1.0,3
5,2,CDA3,10,1.0,3
5,2,CDA3,11,1.0,3
5,2,CDA3,12,1.0,3
6,2,CDA3,1,1.0,3
6,2,CDA3,2,1.0,3
6,2,CDA3,3,1.0,3
6,2,CDA3,4,1.0,3
6,2,CDA3,5,1.0,3
6,2,CDA3,6,1.0,3
6,2,CDA3,7,2.0,3
6,2,CDA3,8,3.0,3
6,2,CDA3,9,5.0,3
6,2,CDA3,10,1.0,3
6,2,CDA3,11,1.0,3
6,2,CDA3,12,1.0,3
7,2,CDA3,1,4.0,3
7,2,CDA3,2,1.0,3
7,2,CDA3,3,1.0,3
7,2,CDA3,4,1.0,3
7,2,CDA3,5,1.0,3
7,2,CDA3,6,1.0,3
7,2,CDA3,7,1.0,3
7,2,CDA3,8,1.0,3
7,2,CDA3,9,1.0,3
7,2,CDA3,10,2.0,3
7,2,CDA3,11,1.0,3
7,2,CDA3,12,1.0,3
8,2,CDA3,1,2.0,3
8,2,CDA3,2,1.0,3
8,2,CDA3,3,3.0,3
8,2,CDA3,4,7.0,3
8,2,CDA3,5,1.0,3
8,2,CDA3,6,2.0,3
8,2,CDA3,7,1.0,3
8,2,CDA3,8,1.0,3
8,2,CDA3,9,14.0,3
8,2,CDA3,10,11.899999999999999,3
8,2,CDA3,11,3.0,3
8,2,CDA3,12,1.0,3
9,3,CDA3,1,1.0,3
9,3,CDA3,2,1.0,3
9,3,CDA3,3,9.0,3
9,3,CDA3,4,1.0,3
9,3,CDA3,5,2.0,3
9,3,CDA3,6,13.0,3
9,3,CDA3,7,13.75,3
9,3,CDA3,8,14.0,3
9,3,CDA3,9,1.0,3
9,3,CDA3,10,1.0,3
9,3,CDA3,11,1.0,3
9,3,CDA3,12,10.0,3
10,3,CDA3,1,1.0,3
10,3,CDA3,2,2.0,3
10,3,CDA3,3,3.0,3
10,3,CDA3,4,3.0,3
10,3,CDA3,5,3.0,3
10,3,CDA3,6,3.9499999999999993,3
10,3,CDA3,7,1.0,3
10,3,CDA3,8,1.0,3
10,3,CDA3,9,2.9499999999999993,3
10,3,CDA3,10,1.9499999999999993,3
10,3,CDA3,11,2.0,3
10,3,CDA3,12,9.85,3
11,3,CDA3,1,12.0,3
11,3,CDA3,2,2.0,3
11,3,CDA3,3,1.0,3
11,3,CDA3,4,11.0,3
11,3,CDA3,5,1.0,3
11,3,CDA3,6,1.0,3
11,3,CDA3,7,5.0,3
11,3,CDA3,8,1.0,3
11,3,CDA3,9,1.0,3
11,3,CDA3,10,7.0,3
11,3,CDA3,11,1.0,3
11,3,CDA3,12,4.300000000000001,3
12,3,CDA3,1,1.0,3
12,3,CDA3,2,1.0,3
12,3,CDA3,3,2.0,3
12,3,CDA3,4,2.0,3
12,3,CDA3,5,2.0,3
12,3,CDA3,6,2.0,3
12,3,CDA3,7,1.0,3
12,3,CDA3,8,1.0,3
12,3,CDA3,9,1.0,3
12,3,CDA3,10,8.0,3
12,3,CDA3,11,10.0,3
12,3,CDA3,12,7.0,3
13,4,CDA3,1,4.0,3
13,4,CDA3,2,1.0,3
13,4,CDA3,3,1.0,3
13,4,CDA3,4,1.0,3
13,4,CDA3,5,1.0,3
13,4,CDA3,6,1.0,3
13,4,CDA3,7,14.0,3
13,4,CDA3,8,3.0,3
13,4,CDA3,9,14.0,3
13,4,CDA3,10,1.0,3
13,4,CDA3,11,1.0,3
13,4,CDA3,12,15.0,3
14,4,CDA3,1,12.0,3
14,4,CDA3,2,14.0,3
14,4,CDA3,3,2.0,3
14,4,CDA3,4,2.0,3
14,4,CDA3,5,3.0,3
14,4,CDA3,6,1.0,3
14,4,CDA3,7,1.0,3
14,4,CDA3,8,2.0,3
14,4,CDA3,9,1.0,3
14,4,CDA3,10,14.0,3
14,4,CDA3,11,1.0,3
14,4,CDA3,12,1.0,3
15,4,CDA3,1,3.0,3
15,4,CDA3,2,1.0,3
15,4,CDA3,3,1.0,3
15,4,CDA3,4,2.0,3
15,4,CDA3,5,13.0,3
15,4,CDA3,6,1.0,3
15,4,CDA3,7,1.0,3
15,4,CDA3,8,1.0,3
15,4,CDA3,9,1.0,3
15,4,CDA3,10,1.0,3
15,4,CDA3,11,1.0,3
15,4,CDA3,12,1.0,3
16,4,CDA3,1,1.0,3
16,4,CDA3,2,2.0,3
16,4,CDA3,3,1.0,3
16,4,CDA3,4,1.0,3
16,4,CDA3,5,12.899999999999999,3
16,4,CDA3,6,1.0,3
16,4,CDA3,7,1.0,3
16,4,CDA3,8,1.0,3
16,4,CDA3,9,1.0,3
16,4,CDA3,10,1.0,3
16,4,CDA3,11,1.0,3
16,4,CDA3,12,1.0,3
17,5,CDA3,1,12.0,3
17,5,CDA3,2,6.0,3
17,5,CDA3,3,5.0,3
17,5,CDA3,4,4.0,3
17,5,CDA3,5,11.0,3
17,5,CDA3,6,8.0,3
17,5,CDA3,7,6.0,3
17,5,CDA3,8,5.0,3
17,5,CDA3,9,4.0,3
17,5,CDA3,10,12.8,3
17,5,CDA3,11,12.0,3
17,5,CDA3,12,1.0,3
18,5,CDA3,1,10.0,3
18,5,CDA3,2,4.0,3
18,5,CDA3,3,3.0,3
18,5,CDA3,4,3.0,3
18,5,CDA3,5,1.0,3
18,5,CDA3,6,1.0,3
18,5,CDA3,7,10.0,3
18,5,CDA3,8,1.0,3
18,5,CDA3,9,2.0,3
18,5,CDA3,10,1.6999999999999993,3
18,5,CDA3,11,1.0,3
18,5,CDA3,12,1.0,3
19,5,CDA3,1,4.0,3
19,5,CDA3,2,2.0,3
19,5,CDA3,3,2.0,3
19,5,CDA3,4,1.0,3
19,5,CDA3,5,3.0,3
19,5,CDA3,6,3.0,3
19,5,CDA3,7,2.0,3
19,5,CDA3,8,12.0,3
19,5,CDA3,9,4.0,3
19,5,CDA3,10,4.0,3
19,5,CDA3,11,2.0,3
19,5,CDA3,12,3.0,3
20,5,CDA3,1,1.0,3
20,5,CDA3,2,2.0,3
20,5,CDA3,3,2.0,3
20,5,CDA3,4,1.0,3
20,5,CDA3,5,3.0,3
20,5,CDA3,6,15.0,3
20,5,CDA3,7,1.0,3
20,5,CDA3,8,2.0,3
20,5,CDA3,9,1.0,3
20,5,CDA3,10,13.0,3
20,5,CDA3,11,1.4499999999999993,3
20,5,CDA3,12,1.0,3
1,1,CDA4,1,10.0,4
1,1,CDA4,2,10.0,4
1,1,CDA4,3,5.0,4
1,1,CDA4,4,1.0,4
1,1,CDA4,5,1.0,4
1,1,CDA4,6,1.0,4
