interval,quantity,weighted_price,price_change_int,period,group,block,format,price_change,ce_price,ce_quantity,cum_volume,%cumsum,price_deviation,block_1,block_2,block_3,block_4,block_5,group_id,format_num,price_deviation_log,price_change_log,log_wprice,change_log_wprice,ppi
9,102.19999999999997,9.924492482486238,-0.009390050492213671,12,Flow609,3,Flow60,-0.07142133623590219,9,1500,1269.5300000000002,0.8463533333333335,0.0,False,False,True,False,False,9,2,-6.907755278982137,-2.63915862744308,2.2950056899999316,-0.0071707013591919555,0.2628205128205128
10,92.45999999999998,9.798529812142663,0.0,12,Flow609,3,Flow60,-0.12596267034357567,9,1500,1361.9900000000002,0.9079933333333335,0.0,False,False,True,False,False,9,2,-6.907755278982137,-2.0717696830409094,2.282232355253409,-0.012773334746522647,0.36934237848872
11,107.49000000000005,9.977194186814213,0.013469022230666643,12,Flow609,3,Flow60,0.17866437467155016,9,1500,1469.4800000000002,0.9796533333333335,0.0,False,False,True,False,False,9,2,-6.907755278982137,-1.7222462349926044,2.30030190718931,0.018069551935901096,0.329226089068269
12,117.68999999999996,10.068673000461049,0.0002611650598840236,12,Flow609,3,Flow60,0.09147881364683563,9,1500,1587.1700000000003,1.0581133333333335,0.06867300046104852,False,False,True,False,False,9,2,-2.67839916339048,-2.3916478783546338,2.3094289205357357,0.009127013346425628,0.41472490160981845
13,116.51000000000005,10.084698994863288,0.0008294625625701592,12,Flow609,3,Flow60,0.01602599440223962,9,1500,1703.6800000000003,1.135786666666667,0.08469899486328814,False,False,True,False,False,9,2,-2.4686515444159336,-4.133543224918743,2.3110193241450125,0.0015904036092768692,0.28351640077557505
14,92.16999999999999,10.315659141636205,-0.0015081616980310933,12,Flow609,3,Flow60,0.23096014677291699,9,1500,1795.8500000000004,1.1972333333333336,0.3156591416362051,False,False,True,False,False,9,2,-1.15309231328198,-1.4655101081370245,2.3336630457551206,0.02264372161010808,0.4651559454191032
15,56.81000000000006,10.141957724989584,0.010298852334320426,12,Flow609,3,Flow60,-0.17370141664662064,9,1500,1852.6600000000003,1.2351066666666668,0.14195772498958448,False,False,True,False,False,9,2,-1.9522259770466495,-1.7504174500595233,2.316681049053115,-0.01698199670200573,0.5007253797576379
16,65.11999999999995,10.442088091353998,0.0,12,Flow609,3,Flow60,0.3001303663644137,9,1500,1917.7800000000002,1.27852,0.4420880913539982,False,False,True,False,False,9,2,-0.8162461150565072,-1.2035383441693734,2.345844571205792,0.029163522152677146,0.5046296296296298
17,7.490000000000009,13.0,0.0,12,Flow609,3,Flow60,2.557911908646002,9,1500,1925.2700000000002,1.2835133333333335,3.0,False,False,True,False,False,9,2,1.0986122886681098,0.9391912649741412,2.5649493574615367,0.2191047862557447,0.6387362637362637
18,0.0,13.0,0.0,12,Flow609,3,Flow60,0.0,9,1500,1925.2700000000002,1.2835133333333335,3.0,False,False,True,False,False,9,2,1.0986122886681098,-6.907755278982137,2.5649493574615367,0.0,0.6144447657605552
