id_in_group,direction,fill_quantity,profit,contract_price,contract_quantity,group_id,order_price,period,block,price_dev_from_contract,in_market_quantity,ce_price,format,time
3,buy,21.0,338,8.0,400.0,1,5.2439024390243905,14,4,2.7560975609756095,400.0,6,CDA,T11-T20
4,buy,159.0,159,6.0,400.0,1,3.111111111111111,14,4,2.888888888888889,0.0,6,CDA,T11-T20
5,sell,200.0,0,6.0,400.0,1,6.1923076923076925,14,4,0.1923076923076925,200.0,6,CDA,T11-T20
6,sell,300.0,315,3.0,300.0,1,4.45,14,4,1.4500000000000002,300.0,6,CDA,T11-T20
7,sell,333.0,107,5.0,400.0,1,5.247191011235955,14,4,0.24719101123595522,400.0,6,CDA,T11-T20
8,sell,147.0,735,4.0,300.0,1,7.492957746478873,14,4,3.492957746478873,300.0,6,CDA,T11-T20
1,buy,400.0,3984,17.0,400.0,1,8.0,15,4,9.0,400.0,6,CDA,T11-T20
2,buy,400.0,3214,15.0,400.0,1,15.065934065934066,15,4,-0.0659340659340657,400.0,6,CDA,T11-T20
3,buy,27.0,167,8.0,400.0,1,4.352941176470588,15,4,3.647058823529412,400.0,6,CDA,T11-T20
4,buy,170.0,170,6.0,400.0,1,5.6521739130434785,15,4,0.3478260869565215,0.0,6,CDA,T11-T20
5,sell,332.0,266,6.0,400.0,1,5.728813559322034,15,4,-0.27118644067796627,200.0,6,CDA,T11-T20
6,sell,235.0,701,3.0,300.0,1,10.13953488372093,15,4,7.1395348837209305,300.0,6,CDA,T11-T20
7,sell,313.0,219,5.0,400.0,1,5.794871794871795,15,4,0.7948717948717947,400.0,6,CDA,T11-T20
8,sell,117.0,585,4.0,300.0,1,8.75,15,4,4.75,300.0,6,CDA,T11-T20
1,buy,400.0,4468,17.0,400.0,1,5.83,16,4,11.17,400.0,6,CDA,T11-T20
2,buy,400.0,3852,15.0,400.0,1,16.0,16,4,-1.0,400.0,6,CDA,T11-T20
3,buy,13.0,52,8.0,400.0,1,2.3225806451612905,16,4,5.67741935483871,400.0,6,CDA,T11-T20
4,buy,181.0,222,6.0,400.0,1,4.446428571428571,16,4,1.5535714285714288,0.0,6,CDA,T11-T20
5,sell,314.0,0,6.0,400.0,1,6.777777777777778,16,4,0.7777777777777777,200.0,6,CDA,T11-T20
6,sell,300.0,546,3.0,300.0,1,6.333333333333333,16,4,3.333333333333333,300.0,6,CDA,T11-T20
7,sell,269.0,85,5.0,400.0,1,5.023255813953488,16,4,0.023255813953488413,400.0,6,CDA,T11-T20
8,sell,111.0,192,4.0,300.0,1,6.375,16,4,2.375,300.0,6,CDA,T11-T20
1,buy,400.0,2506,14.0,400.0,1,10.0,17,5,4.0,200.0,14,CDA,T11-T20
2,buy,300.0,1611,16.0,300.0,1,14.403846153846153,17,5,1.5961538461538467,300.0,14,CDA,T11-T20
3,buy,42.0,518,17.0,300.0,1,8.58,17,5,8.42,300.0,14,CDA,T11-T20
4,buy,193.0,2145,17.0,300.0,1,5.84,17,5,11.16,300.0,14,CDA,T11-T20
5,sell,99.0,99,14.0,400.0,1,15.0,17,5,1.0,0.0,14,CDA,T11-T20
