period,block,group,interval,ppi,group_id
20,5,CDA1,8,1.0,1
20,5,CDA1,9,1.0,1
20,5,CDA1,10,1.0,1
20,5,CDA1,11,8.0,1
20,5,CDA1,12,1.0,1
20,5,CDA1,13,8.0,1
20,5,CDA1,14,1.0,1
20,5,CDA1,15,1.0,1
20,5,CDA1,16,2.0,1
20,5,CDA1,17,8.0,1
20,5,CDA1,18,1.0,1
20,5,CDA1,19,1.0,1
20,5,CDA1,20,1.0,1
20,5,CDA1,21,1.0,1
20,5,CDA1,22,1.0,1
20,5,CDA1,23,1.0,1
20,5,CDA1,24,1.0,1
1,1,CDA2,1,20.0,2
1,1,CDA2,2,12.0,2
1,1,CDA2,3,12.0,2
1,1,CDA2,4,12.0,2
1,1,CDA2,5,2.0,2
1,1,CDA2,6,10.0,2
1,1,CDA2,7,10.0,2
1,1,CDA2,8,12.0,2
1,1,CDA2,9,5.0,2
1,1,CDA2,10,2.0,2
1,1,CDA2,11,2.0,2
1,1,CDA2,12,2.0,2
1,1,CDA2,13,2.0,2
1,1,CDA2,14,2.0,2
1,1,CDA2,15,10.0,2
1,1,CDA2,16,7.0,2
1,1,CDA2,17,15.0,2
1,1,CDA2,18,15.0,2
1,1,CDA2,19,5.0,2
1,1,CDA2,20,5.0,2
1,1,CDA2,21,4.0,2
1,1,CDA2,22,4.0,2
1,1,CDA2,23,7.0,2
1,1,CDA2,24,3.0,2
2,1,CDA2,1,20.0,2
2,1,CDA2,2,13.0,2
2,1,CDA2,3,4.0,2
2,1,CDA2,4,4.0,2
2,1,CDA2,5,4.0,2
2,1,CDA2,6,1.0,2
2,1,CDA2,7,1.0,2
2,1,CDA2,8,1.0,2
2,1,CDA2,9,1.0,2
2,1,CDA2,10,3.0,2
2,1,CDA2,11,3.0,2
2,1,CDA2,12,3.0,2
2,1,CDA2,13,3.0,2
2,1,CDA2,14,3.0,2
2,1,CDA2,15,1.0,2
2,1,CDA2,16,1.0,2
2,1,CDA2,17,7.0,2
2,1,CDA2,18,1.0,2
2,1,CDA2,19,1.0,2
2,1,CDA2,20,3.0,2
2,1,CDA2,21,1.0,2
2,1,CDA2,22,2.0,2
2,1,CDA2,23,7.0,2
2,1,CDA2,24,7.0,2
3,1,CDA2,1,20.0,2
3,1,CDA2,2,2.0,2
3,1,CDA2,3,2.0,2
3,1,CDA2,4,2.0,2
3,1,CDA2,5,2.0,2
3,1,CDA2,6,2.0,2
3,1,CDA2,7,1.0,2
3,1,CDA2,8,1.0,2
3,1,CDA2,9,1.0,2
3,1,CDA2,10,1.0,2
3,1,CDA2,11,2.0,2
3,1,CDA2,12,12.0,2
3,1,CDA2,13,9.0,2
3,1,CDA2,14,6.0,2
3,1,CDA2,15,3.0,2
3,1,CDA2,16,4.0,2
3,1,CDA2,17,3.0,2
3,1,CDA2,18,3.0,2
3,1,CDA2,19,3.0,2
3,1,CDA2,20,3.0,2
3,1,CDA2,21,3.0,2
3,1,CDA2,22,3.0,2
3,1,CDA2,23,11.0,2
3,1,CDA2,24,6.0,2
4,1,CDA2,1,20.0,2
4,1,CDA2,2,2.0,2
4,1,CDA2,3,3.0,2
4,1,CDA2,4,3.0,2
4,1,CDA2,5,1.0,2
4,1,CDA2,6,2.0,2
4,1,CDA2,7,1.0,2
4,1,CDA2,8,2.0,2
4,1,CDA2,9,2.0,2
4,1,CDA2,10,2.0,2
4,1,CDA2,11,1.0,2
4,1,CDA2,12,1.0,2
4,1,CDA2,13,3.0,2
4,1,CDA2,14,3.0,2
4,1,CDA2,15,3.0,2
4,1,CDA2,16,3.0,2
4,1,CDA2,17,3.0,2
4,1,CDA2,18,3.0,2
4,1,CDA2,19,3.0,2
4,1,CDA2,20,3.0,2
4,1,CDA2,21,12.0,2
4,1,CDA2,22,13.0,2
4,1,CDA2,23,2.0,2
4,1,CDA2,24,4.0,2
5,2,CDA2,1,20.0,2
5,2,CDA2,2,6.0,2
5,2,CDA2,3,6.0,2
5,2,CDA2,4,6.0,2
5,2,CDA2,5,4.0,2
5,2,CDA2,6,6.0,2
5,2,CDA2,7,3.0,2
5,2,CDA2,8,2.0,2
5,2,CDA2,9,2.0,2
5,2,CDA2,10,2.0,2
5,2,CDA2,11,2.0,2
5,2,CDA2,12,4.0,2
5,2,CDA2,13,4.0,2
5,2,CDA2,14,4.0,2
5,2,CDA2,15,5.0,2
5,2,CDA2,16,5.0,2
5,2,CDA2,17,2.0,2
5,2,CDA2,18,8.0,2
5,2,CDA2,19,4.0,2
5,2,CDA2,20,4.0,2
5,2,CDA2,21,2.0,2
5,2,CDA2,22,2.0,2
5,2,CDA2,23,1.0,2
5,2,CDA2,24,1.0,2
6,2,CDA2,1,20.0,2
6,2,CDA2,2,6.0,2
6,2,CDA2,3,6.0,2
6,2,CDA2,4,6.0,2
6,2,CDA2,5,2.0,2
6,2,CDA2,6,2.0,2
6,2,CDA2,7,2.0,2
6,2,CDA2,8,11.0,2
6,2,CDA2,9,4.0,2
6,2,CDA2,10,4.0,2
6,2,CDA2,11,4.0,2
6,2,CDA2,12,8.0,2
6,2,CDA2,13,1.0,2
6,2,CDA2,14,2.0,2
6,2,CDA2,15,2.0,2
6,2,CDA2,16,2.0,2
6,2,CDA2,17,1.0,2
6,2,CDA2,18,1.0,2
6,2,CDA2,19,1.0,2
6,2,CDA2,20,1.0,2
6,2,CDA2,21,1.0,2
6,2,CDA2,22,11.0,2
6,2,CDA2,23,2.0,2
6,2,CDA2,24,1.0,2
7,2,CDA2,1,16.0,2
7,2,CDA2,2,4.0,2
7,2,CDA2,3,8.0,2
7,2,CDA2,4,6.0,2
7,2,CDA2,5,6.0,2
7,2,CDA2,6,2.0,2
7,2,CDA2,7,2.0,2
7,2,CDA2,8,4.5,2
7,2,CDA2,9,1.0,2
7,2,CDA2,10,3.0,2
7,2,CDA2,11,2.0,2
7,2,CDA2,12,2.0,2
7,2,CDA2,13,2.0,2
7,2,CDA2,14,2.0,2
7,2,CDA2,15,1.0,2
7,2,CDA2,16,2.0,2
7,2,CDA2,17,1.0,2
7,2,CDA2,18,1.0,2
7,2,CDA2,19,2.0999999999999996,2
7,2,CDA2,20,6.5,2
7,2,CDA2,21,1.9500000000000002,2
7,2,CDA2,22,2.1500000000000004,2
7,2,CDA2,23,1.7000000000000002,2
7,2,CDA2,24,1.7000000000000002,2
8,2,CDA2,1,14.6,2
8,2,CDA2,2,4.0,2
8,2,CDA2,3,4.0,2
8,2,CDA2,4,1.0,2
8,2,CDA2,5,4.0,2
8,2,CDA2,6,5.0,2
8,2,CDA2,7,1.0,2
8,2,CDA2,8,1.0,2
8,2,CDA2,9,1.0,2
8,2,CDA2,10,2.0,2
8,2,CDA2,11,1.5499999999999998,2
8,2,CDA2,12,1.5499999999999998,2
8,2,CDA2,13,1.0,2
8,2,CDA2,14,1.0,2
8,2,CDA2,15,1.0,2
8,2,CDA2,16,1.0,2
8,2,CDA2,17,1.0,2
8,2,CDA2,18,1.0,2
8,2,CDA2,19,1.0,2
8,2,CDA2,20,1.0,2
8,2,CDA2,21,1.0,2
8,2,CDA2,22,1.0,2
8,2,CDA2,23,1.0,2
8,2,CDA2,24,1.0,2
9,3,CDA2,1,14.0,2
9,3,CDA2,2,3.0,2
9,3,CDA2,3,2.0,2
9,3,CDA2,4,2.0,2
9,3,CDA2,5,1.0,2
9,3,CDA2,6,1.0,2
9,3,CDA2,7,1.0,2
9,3,CDA2,8,8.0,2
9,3,CDA2,9,9.0,2
9,3,CDA2,10,3.0,2
9,3,CDA2,11,2.0,2
9,3,CDA2,12,2.0,2
9,3,CDA2,13,1.0,2
9,3,CDA2,14,3.0,2
9,3,CDA2,15,4.0,2
9,3,CDA2,16,5.95,2
9,3,CDA2,17,6.0,2
9,3,CDA2,18,2.0,2
9,3,CDA2,19,2.0,2
9,3,CDA2,20,2.0,2
9,3,CDA2,21,2.0,2
9,3,CDA2,22,9.0,2
9,3,CDA2,23,3.3,2
9,3,CDA2,24,1.0,2
10,3,CDA2,1,20.0,2
10,3,CDA2,2,1.0,2
10,3,CDA2,3,1.0,2
10,3,CDA2,4,2.0,2
10,3,CDA2,5,2.0,2
10,3,CDA2,6,2.0,2
10,3,CDA2,7,2.0,2
10,3,CDA2,8,1.0,2
10,3,CDA2,9,1.0,2
10,3,CDA2,10,1.0,2
10,3,CDA2,11,1.0,2
10,3,CDA2,12,5.0,2
10,3,CDA2,13,1.0,2
10,3,CDA2,14,1.0,2
10,3,CDA2,15,1.0,2
10,3,CDA2,16,1.0,2
10,3,CDA2,17,1.0,2
10,3,CDA2,18,1.0,2
10,3,CDA2,19,1.0,2
10,3,CDA2,20,1.0,2
10,3,CDA2,21,1.0,2
10,3,CDA2,22,1.0,2
10,3,CDA2,23,1.0,2
10,3,CDA2,24,6.0,2
11,3,CDA2,1,13.0,2
11,3,CDA2,2,2.0,2
11,3,CDA2,3,2.0,2
11,3,CDA2,4,1.0,2
11,3,CDA2,5,2.0,2
11,3,CDA2,6,2.0,2
11,3,CDA2,7,2.0,2
11,3,CDA2,8,3.0,2
11,3,CDA2,9,2.0,2
11,3,CDA2,10,1.0,2
11,3,CDA2,11,1.0,2
11,3,CDA2,12,2.0,2
11,3,CDA2,13,2.0,2
11,3,CDA2,14,2.0,2
11,3,CDA2,15,2.0,2
11,3,CDA2,16,2.0,2
11,3,CDA2,17,1.9500000000000002,2
11,3,CDA2,18,1.0,2
11,3,CDA2,19,11.0,2
11,3,CDA2,20,2.0,2
11,3,CDA2,21,2.0,2
11,3,CDA2,22,2.0,2
11,3,CDA2,23,2.0,2
11,3,CDA2,24,1.5999999999999996,2
12,3,CDA2,1,10.0,2
12,3,CDA2,2,2.0,2
12,3,CDA2,3,1.0,2
12,3,CDA2,4,2.0,2
12,3,CDA2,5,1.0,2
12,3,CDA2,6,2.0,2
12,3,CDA2,7,2.0,2
12,3,CDA2,8,2.0,2
12,3,CDA2,9,4.0,2
12,3,CDA2,10,4.0,2
12,3,CDA2,11,4.0,2
12,3,CDA2,12,5.0,2
12,3,CDA2,13,1.0,2
12,3,CDA2,14,4.0,2
12,3,CDA2,15,8.0,2
12,3,CDA2,16,9.0,2
12,3,CDA2,17,1.0,2
12,3,CDA2,18,1.0,2
12,3,CDA2,19,1.5999999999999996,2
12,3,CDA2,20,8.0,2
12,3,CDA2,21,5.0,2
12,3,CDA2,22,4.6,2
12,3,CDA2,23,4.300000000000001,2
12,3,CDA2,24,4.300000000000001,2
13,4,CDA2,1,13.0,2
13,4,CDA2,2,1.0,2
13,4,CDA2,3,1.0,2
13,4,CDA2,4,2.0,2
13,4,CDA2,5,1.0,2
13,4,CDA2,6,1.0,2
13,4,CDA2,7,1.0,2
13,4,CDA2,8,1.2000000000000002,2
13,4,CDA2,9,1.0,2
13,4,CDA2,10,12.399999999999999,2
13,4,CDA2,11,1.0,2
13,4,CDA2,12,1.0,2
13,4,CDA2,13,2.0,2
13,4,CDA2,14,12.0,2
13,4,CDA2,15,12.0,2
13,4,CDA2,16,14.0,2
13,4,CDA2,17,1.0,2
13,4,CDA2,18,6.0,2
13,4,CDA2,19,1.0,2
13,4,CDA2,20,1.0,2
13,4,CDA2,21,3.0,2
13,4,CDA2,22,2.0,2
13,4,CDA2,23,1.0,2
13,4,CDA2,24,1.0,2
14,4,CDA2,1,13.0,2
14,4,CDA2,2,1.0,2
14,4,CDA2,3,1.0,2
14,4,CDA2,4,1.0,2
14,4,CDA2,5,1.0,2
14,4,CDA2,6,2.0,2
14,4,CDA2,7,3.0,2
14,4,CDA2,8,1.0,2
14,4,CDA2,9,1.0,2
14,4,CDA2,10,1.0,2
14,4,CDA2,11,2.0,2
14,4,CDA2,12,2.0,2
14,4,CDA2,13,2.0,2
14,4,CDA2,14,2.0,2
14,4,CDA2,15,2.0,2
14,4,CDA2,16,3.0,2
14,4,CDA2,17,3.0,2
14,4,CDA2,18,1.0,2
14,4,CDA2,19,1.0,2
